brand,support_tweets,unique_support_responses,response_diversity,average_response_words,dm_request_rate,apology_rate,resolution_signal_rate
AmazonHelp,169840,169805,0.9997939236928874,19.818923692887424,0.023810645313235988,0.263860103626943,0.2837906264719736
AppleSupport,106860,106770,0.9991577765300393,22.719511510387424,0.5256784577952461,0.0028448437207561294,0.2165824443196706
Uber_Support,56270,56198,0.9987204549493514,19.248533854629464,0.3617025057757242,0.19710325217700372,0.16314199395770393
SpotifyCares,43265,43261,0.9999075465156593,22.115127701375247,0.317323471628337,0.04666589622096383,0.3656304171963481
VirginTrains,27817,27770,0.9983103857353417,15.052557788402776,0.028795340978538305,0.18010569076464034,0.15803285760506167
VerizonSupport,17966,17958,0.9995547144606479,15.914560837136815,0.11916954246910831,0.04007569854168986,0.16998775464766783
